Module	Section	Sample Name	Source
FastQC	all_sections	LBD_male_SRR26254409_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_male_SRR26254409_1_fastqc.zip
FastQC	all_sections	LBD_male_SRR26254115_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_male_SRR26254115_2_fastqc.zip
FastQC	all_sections	LBD_male_SRR26254278_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_male_SRR26254278_2_fastqc.zip
FastQC	all_sections	LBD_male_SRR26253870_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_male_SRR26253870_2_fastqc.zip
FastQC	all_sections	LBD_female_SRR26254070_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_female_SRR26254070_1_fastqc.zip
FastQC	all_sections	LBD_male_SRR26253979_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_male_SRR26253979_2_fastqc.zip
FastQC	all_sections	LBD_female_SRR26254070_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_female_SRR26254070_2_fastqc.zip
FastQC	all_sections	LBD_female_SRR26254284_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_female_SRR26254284_2_fastqc.zip
FastQC	all_sections	LBD_male_SRR26254278_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_male_SRR26254278_1_fastqc.zip
FastQC	all_sections	LBD_female_SRR26254010_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_female_SRR26254010_2_fastqc.zip
FastQC	all_sections	LBD_male_SRR26254409_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_male_SRR26254409_2_fastqc.zip
FastQC	all_sections	CONTROL_female_SRR26254419_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/CONTROL_female_SRR26254419_1_fastqc.zip
FastQC	all_sections	LBD_male_SRR26253870_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_male_SRR26253870_1_fastqc.zip
FastQC	all_sections	LBD_female_SRR26254144_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_female_SRR26254144_1_fastqc.zip
FastQC	all_sections	LBD_female_SRR26253954_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_female_SRR26253954_2_fastqc.zip
FastQC	all_sections	LBD_female_SRR26254144_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_female_SRR26254144_2_fastqc.zip
FastQC	all_sections	CONTROL_female_SRR26254262_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/CONTROL_female_SRR26254262_2_fastqc.zip
FastQC	all_sections	CONTROL_male_SRR26254102_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/CONTROL_male_SRR26254102_1_fastqc.zip
FastQC	all_sections	CONTROL_female_SRR26254419_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/CONTROL_female_SRR26254419_2_fastqc.zip
FastQC	all_sections	LBD_male_SRR26253979_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_male_SRR26253979_1_fastqc.zip
FastQC	all_sections	CONTROL_female_SRR26254262_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/CONTROL_female_SRR26254262_1_fastqc.zip
FastQC	all_sections	LBD_female_SRR26254010_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_female_SRR26254010_1_fastqc.zip
FastQC	all_sections	CONTROL_male_SRR26254102_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/CONTROL_male_SRR26254102_2_fastqc.zip
FastQC	all_sections	LBD_female_SRR26253954_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_female_SRR26253954_1_fastqc.zip
FastQC	all_sections	CONTROL_male_SRR26254264_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/CONTROL_male_SRR26254264_1_fastqc.zip
FastQC	all_sections	LBD_female_SRR26254284_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_female_SRR26254284_1_fastqc.zip
FastQC	all_sections	LBD_male_SRR26254115_1	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/LBD_male_SRR26254115_1_fastqc.zip
FastQC	all_sections	CONTROL_male_SRR26254264_2	/home/swaroop/rna_seq/data/trimmed_reads/fastqc_reports/CONTROL_male_SRR26254264_2_fastqc.zip
