Geneid	CONTROL_female_SRR26254262	CONTROL_female_SRR26254419	CONTROL_male_SRR26254102	CONTROL_male_SRR26254264	LBD_female_SRR26253954	LBD_female_SRR26254010	LBD_female_SRR26254070	LBD_female_SRR26254144	LBD_female_SRR26254284	LBD_male_SRR26253870	LBD_male_SRR26253979	LBD_male_SRR26254115	LBD_male_SRR26254278	LBD_male_SRR26254409
ENSG00000142611	26	217	256	29	46	12	11	175	149	85	427	65	66	148
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149527	1	4	88	5	11	0	0	52	23	9	79	31	29	30
ENSG00000272235	1	5	6	0	8	1	0	1	5	0	10	0	8	16
ENSG00000284694	0	0	1	0	0	0	0	3	0	0	0	0	0	0
ENSG00000224387	0	0	1	0	1	0	0	1	0	1	0	0	0	1
ENSG00000284674	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287727	0	0	3	1	0	0	0	4	2	0	4	0	0	0
ENSG00000215720	0	2	2	0	1	0	0	0	1	0	0	0	0	1
ENSG00000142606	2	2	9	0	0	0	0	9	6	10	22	1	2	3
ENSG00000225931	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000229393	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000287586	0	0	4	2	1	4	0	1	4	1	2	1	5	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225387	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000048707	96	252	1586	119	282	79	27	736	442	198	1984	408	579	520
ENSG00000225196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285833	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280222	15	24	25	24	38	11	8	33	29	28	35	56	45	46
ENSG00000285945	0	0	2	0	0	0	0	4	0	0	5	2	0	0
ENSG00000197921	2	20	11	5	4	2	6	27	3	6	27	22	1	9
ENSG00000284666	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234397	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233419	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284676	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270927	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230523	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189337	33	67	565	28	82	40	6	401	148	63	442	248	205	285
ENSG00000283259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175147	8	3	20	5	13	0	2	15	7	1	34	24	12	21
ENSG00000230214	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272420	1	5	20	0	12	0	0	33	2	2	41	23	4	8
ENSG00000236648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232273	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000130940	3	4	7	3	6	2	0	11	8	6	15	6	9	12
ENSG00000227527	2	8	5	4	5	1	0	7	0	0	3	7	5	2
ENSG00000163873	15	62	184	29	55	2	5	111	152	62	339	132	82	156
ENSG00000117215	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215895	0	0	0	0	0	0	0	2	1	0	0	0	0	0
ENSG00000274944	1	0	4	0	1	0	0	11	0	0	2	0	0	0
ENSG00000272078	7	4	0	0	13	0	0	5	2	2	6	2	5	4
ENSG00000230451	4	0	1	1	0	5	1	2	1	0	2	0	4	1
ENSG00000231606	0	0	0	0	1	0	0	3	1	0	0	0	1	0
ENSG00000254553	0	1	0	0	1	4	1	4	1	0	0	0	0	2
ENSG00000284653	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237749	0	2	1	1	1	1	1	14	3	0	0	4	2	0
ENSG00000276747	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159339	0	5	3	1	7	0	0	0	2	12	7	4	0	6
ENSG00000261781	0	0	0	0	0	0	0	0	0	0	8	1	0	0
ENSG00000224751	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230585	0	0	1	0	0	0	0	2	0	0	1	0	0	0
ENSG00000117000	17	50	444	32	29	4	2	207	102	9	477	91	104	129
ENSG00000284989	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000255811	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225671	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000236111	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000116544	23	59	168	18	40	12	17	190	140	42	280	217	197	150
ENSG00000236723	2	4	7	0	0	0	0	7	2	0	8	2	0	2
ENSG00000232467	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232335	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000232762	1	0	0	2	0	0	0	0	0	0	0	0	1	0
ENSG00000284686	0	1	7	1	1	0	0	0	5	0	3	0	2	1
ENSG00000259818	0	0	2	0	0	1	0	0	1	0	1	0	3	0
ENSG00000234318	0	0	4	0	1	0	0	0	0	0	0	5	1	1
ENSG00000227485	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236646	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171872	0	0	1	0	0	0	0	1	0	0	5	4	1	0
ENSG00000163877	38	64	233	10	55	8	1	150	77	10	201	69	76	90
ENSG00000228929	10	22	125	24	53	13	2	169	60	38	102	38	50	44
ENSG00000224570	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224980	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000278967	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000233910	0	0	0	0	0	0	0	3	0	0	0	0	3	0
ENSG00000287703	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ENSG00000283039	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229294	0	0	0	3	0	0	0	2	0	0	0	0	0	1
ENSG00000236973	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277397	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275350	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285778	0	0	5	0	2	0	0	0	0	0	11	1	0	0
ENSG00000233407	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000280317	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233994	1	0	0	0	0	0	0	2	0	0	1	0	0	0
ENSG00000227556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285954	0	0	2	0	0	0	0	2	0	0	0	1	1	1
ENSG00000233333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000154027	69	170	1830	50	405	79	49	1271	511	306	1785	752	327	455
ENSG00000234108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232676	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213579	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237852	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237163	0	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSG00000229636	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116675	22	92	2571	34	104	20	21	668	369	92	1441	220	171	224
ENSG00000213625	65	159	1390	137	137	29	14	542	362	112	1617	188	296	411
ENSG00000233664	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213703	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234144	1	1	1	0	0	0	0	1	0	0	1	0	1	0
ENSG00000277670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227466	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000230498	0	0	2	0	0	0	0	0	0	0	3	3	2	0
ENSG00000224493	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131233	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000229225	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225598	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286548	0	0	3	3	0	1	0	1	2	0	4	0	1	2
ENSG00000272094	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000228853	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000288543	2	0	0	0	0	0	0	0	0	0	3	1	3	1
ENSG00000226084	24	76	195	42	104	35	15	309	113	51	239	162	144	126
ENSG00000229332	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227937	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229752	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233216	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226804	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230728	10	1	3	8	6	4	0	10	7	0	6	3	9	10
ENSG00000232846	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230787	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172260	25	52	501	38	183	46	27	516	98	141	568	494	147	306
ENSG00000285473	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234578	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229505	0	0	0	2	1	0	0	0	0	0	0	0	1	0
ENSG00000228187	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182183	0	0	10	1	0	0	0	6	7	7	3	7	4	4
ENSG00000236407	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271949	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227062	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000067334	148	176	809	89	196	98	34	516	417	89	750	306	697	603
ENSG00000235011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213559	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232882	1	0	12	0	1	2	1	5	3	0	8	3	3	13
ENSG00000171502	4	7	28	6	9	0	0	42	13	26	136	53	12	23
ENSG00000116157	28	13	43	15	22	4	3	44	36	7	86	16	25	40
ENSG00000226960	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234080	0	0	0	0	0	0	0	0	0	0	0	0	0	0
